State,Latitude,Longitude,NO2,O3,SO2,CO,Month,Year
Arizona,34.048927,-111.431221,30.06451613,38.03225806,4.741935484,5.032258065,8,2011
California,36.116203,-119.681564,22.44444444,42.35892256,4.981818182,6.522207268,8,2011
Colorado,39.059811,-105.311104,40.96153846,47.07692308,16.42307692,7.653846154,8,2011
District Of Columbia,38.897438,-77.026817,34.5483871,49.87096774,30.22580645,12.35483871,8,2011
Florida,27.766279,-81.686783,15.67741935,25.38709677,3.161290323,4.741935484,8,2011
Illinois,40.349457,-88.986137,36.37096774,47.74193548,29.5483871,7.64516129,8,2011
Indiana,39.849426,-86.258278,28.74193548,43.64516129,18.38709677,5.161290323,8,2011
Kansas,38.5266,-96.726486,22.27419355,65.62903226,15.70967742,7.580645161,8,2011
Louisiana,31.169546,-91.867805,21.20689655,34.68965517,6.448275862,8.931034483,8,2011
Massachusetts,42.230171,-71.530106,25.90322581,30.06451613,10.12903226,8.161290323,8,2011
Michigan,43.326618,-84.536095,27.70212766,41.10638298,13.04255319,7.127659574,8,2011
Missouri,38.456085,-92.288368,26.82258065,62.46774194,19.20967742,8.709677419,8,2011
New Hampshire,43.452492,-71.563896,14.77419355,34.61290323,6.709677419,7.870967742,8,2011
New Jersey,40.298904,-74.521011,25.51612903,52.16129032,21.74193548,8.193548387,8,2011
New York,42.165726,-74.948051,30.03030303,43.28787879,13.15151515,6.5,8,2011
North Carolina,35.630066,-79.806419,23.82795699,57.3655914,16.76344086,7.301075269,8,2011
Oklahoma,35.565342,-96.928917,15.61818182,61.50909091,10.45454545,1.127272727,8,2011
Pennsylvania,40.590752,-77.209755,23.72017354,47.43817787,23.04772234,4.221258134,8,2011
Texas,31.054487,-97.563461,25.74380165,52.38842975,8.082644628,5.94214876,8,2011
Arizona,34.048927,-111.431221,45.67741935,21.93548387,8.064516129,18.74193548,12,2011
California,36.116203,-119.681564,32.73733333,19.832,4.986666667,15.48266667,12,2011
Colorado,39.059811,-105.311104,41.87272727,13.27272727,24.30909091,20.42857143,12,2011
District Of Columbia,38.897438,-77.026817,33.51612903,16.48387097,27.80645161,12.96774194,12,2011
Florida,27.766279,-81.686783,29.4516129,25.61290323,7.161290323,9.387096774,12,2011
Illinois,40.349457,-88.986137,28.19354839,15,11.09677419,6.064516129,12,2011
Kansas,38.5266,-96.726486,19.93548387,21.83870968,10.38709677,7.274193548,12,2011
Louisiana,31.169546,-91.867805,34.12903226,20.38709677,24.22580645,13.38709677,12,2011
Massachusetts,42.230171,-71.530106,29.80645161,17.35483871,22.29032258,10.80645161,12,2011
New York,42.165726,-74.948051,29.98876404,17.23595506,31.6741573,7.235955056,12,2011
Pennsylvania,40.590752,-77.209755,34.32258065,8.935483871,22.29032258,9,12,2011
Texas,31.054487,-97.563461,38.61946903,24.76106195,10.53982301,12.62831858,12,2011
Arizona,34.048927,-111.431221,29.48387097,58.67741935,4.532258065,6.032258065,7,2011
California,36.116203,-119.681564,22.50924156,47.26959847,5.899936265,6.322704082,7,2011
Colorado,39.059811,-105.311104,38.35714286,42.42857143,20.85714286,8.178571429,7,2011
District Of Columbia,38.897438,-77.026817,34.90322581,48.90322581,24.12903226,12.06451613,7,2011
Florida,27.766279,-81.686783,18.58064516,32,3.096774194,5.935483871,7,2011
Illinois,40.349457,-88.986137,36.40983607,46.49180328,43.03278689,7.049180328,7,2011
Indiana,39.849426,-86.258278,31.06451613,48.67741935,29.29032258,5.193548387,7,2011
Kansas,38.5266,-96.726486,17.29032258,58.62903226,8.564516129,4.580645161,7,2011
Kentucky,37.66814,-84.670067,17.5,24.5,29.5,3,7,2011
Louisiana,31.169546,-91.867805,21.25806452,36.67741935,8.612903226,8.387096774,7,2011
Massachusetts,42.230171,-71.530106,30.06451613,38.70967742,10.32258065,7.806451613,7,2011
Michigan,43.326618,-84.536095,33.37096774,48.72580645,17.67741935,8,7,2011
Missouri,38.456085,-92.288368,25.62903226,56.53225806,17.96774194,7.951612903,7,2011
New Hampshire,43.452492,-71.563896,15.32258065,42.70967742,4.870967742,3.903225806,7,2011
New Jersey,40.298904,-74.521011,30.48387097,62.58064516,22.29032258,7.032258065,7,2011
New York,42.165726,-74.948051,39.44827586,58.17241379,16.35632184,7.459770115,7,2011
North Carolina,35.630066,-79.806419,20.20430108,49.89247312,17.53763441,6.290322581,7,2011
Oklahoma,35.565342,-96.928917,12.71428571,50.54761905,5.047619048,1.357142857,7,2011
Pennsylvania,40.590752,-77.209755,24.76560789,52.74589266,23.02957284,3.280087527,7,2011
South Carolina,33.856892,-80.945007,3.6875,30.25,3.9375,1.9375,7,2011
Texas,31.054487,-97.563461,23.34439834,47.56016598,11.07883817,6.083333333,7,2011
Arizona,34.048927,-111.431221,35,46.83333333,6.95,7.033333333,6,2011
California,36.116203,-119.681564,19.57765668,49.1880109,4.294277929,5.380108992,6,2011
Colorado,39.059811,-105.311104,34.94117647,45.41176471,15.52941176,5.235294118,6,2011
District Of Columbia,38.897438,-77.026817,35.23333333,50.23333333,23.5,9.133333333,6,2011
Florida,27.766279,-81.686783,15.9,30.46666667,2.6,5.5,6,2011
Illinois,40.349457,-88.986137,42.51666667,46.33333333,36.26666667,8.1,6,2011
Indiana,39.849426,-86.258278,35.76666667,60.66666667,20.86666667,7.233333333,6,2011
Kansas,38.5266,-96.726486,20.23333333,50.38333333,9.8,3.033333333,6,2011
Kentucky,37.66814,-84.670067,22.88333333,56.58333333,11.48333333,1.866666667,6,2011
Louisiana,31.169546,-91.867805,23.1,31.93333333,7.866666667,8,6,2011
Massachusetts,42.230171,-71.530106,31.73333333,41.1,11.66666667,10,6,2011
Michigan,43.326618,-84.536095,37.9,50.33333333,21.18333333,7.783333333,6,2011
Missouri,38.456085,-92.288368,35.71666667,60.28333333,20.31666667,8.933333333,6,2011
Nevada,38.313515,-117.055374,5.233333333,62.93333333,0.233333333,0,6,2011
New Hampshire,43.452492,-71.563896,21.8,45.1,10.66666667,4.266666667,6,2011
New Jersey,40.298904,-74.521011,35.35714286,67.5,19.78571429,9.285714286,6,2011
New York,42.165726,-74.948051,43.59493671,54.46835443,14.55696203,9.329113924,6,2011
North Carolina,35.630066,-79.806419,26.44692737,59.74301676,16.03910615,8,6,2011
Oklahoma,35.565342,-96.928917,10.07352941,43.04411765,8.985294118,0.941176471,6,2011
Pennsylvania,40.590752,-77.209755,27.16517857,55.47991071,20.95758929,4.129464286,6,2011
South Carolina,33.856892,-80.945007,5.666666667,50.5,7.666666667,1.5,6,2011
Texas,31.054487,-97.563461,24.48305085,52.30508475,7.381355932,5.43220339,6,2011
Arizona,34.048927,-111.431221,45.38823529,36.89411765,5.282352941,10.16470588,3,2011
California,36.116203,-119.681564,28.66766647,34.65566887,4.346522782,9.304139172,3,2011
Colorado,39.059811,-105.311104,40.76923077,34.96153846,13.96153846,7.307692308,3,2011
District Of Columbia,38.897438,-77.026817,39.93548387,20.96774194,31,17.35483871,3,2011
Florida,27.766279,-81.686783,23.67741935,36.03225806,2.967741935,8.35483871,3,2011
Illinois,40.349457,-88.986137,29.21875,26.53125,23.4375,7.625,3,2011
Indiana,39.849426,-86.258278,40,37,7,11,3,2011
Kansas,38.5266,-96.726486,20.29166667,36.04166667,5.395833333,3.479166667,3,2011
Kentucky,37.66814,-84.670067,25.20967742,35.19354839,17.88709677,3.483870968,3,2011
Louisiana,31.169546,-91.867805,33.16129032,28.12903226,16.64516129,11.25806452,3,2011
Massachusetts,42.230171,-71.530106,40.74193548,24.61290323,17.80645161,9.903225806,3,2011
Michigan,43.326618,-84.536095,32.5,20.5,10,4,3,2011
Missouri,38.456085,-92.288368,37,44,6,10,3,2011
Nevada,38.313515,-117.055374,6.612903226,41.48387097,0,0,3,2011
New Hampshire,43.452492,-71.563896,7,23,1,3,3,2011
New Jersey,40.298904,-74.521011,41.61666667,24.16666667,24.73333333,10.58333333,3,2011
New York,42.165726,-74.948051,40.80645161,26.77419355,25.4516129,9.161290323,3,2011
North Carolina,35.630066,-79.806419,38,8,19,6,3,2011
Oklahoma,35.565342,-96.928917,17.9379845,37.37984496,3.457364341,1.140625,3,2011
Pennsylvania,40.590752,-77.209755,35.95348837,14.69767442,20.69767442,7.279069767,3,2011
South Carolina,33.856892,-80.945007,8.032258065,35.51612903,4.225806452,3.483870968,3,2011
Tennessee,35.747845,-86.692345,10.41935484,38.74193548,3.338709677,11,3,2011
Texas,31.054487,-97.563461,33.47747748,34.93693694,10.31531532,7.144144144,3,2011
Arizona,34.048927,-111.431221,43.12903226,60.64516129,5.790322581,8,5,2011
California,36.116203,-119.681564,24.6519546,47.19041614,5.017654477,6.760403531,5,2011
Colorado,39.059811,-105.311104,34.09677419,40.58064516,15.77419355,6.032258065,5,2011
District Of Columbia,38.897438,-77.026817,34.67857143,23.85714286,15.71428571,9.464285714,5,2011
