State,Latitude,Longitude,NO2,O3,SO2,CO,Month,Year
Arizona,34.048927,-111.431221,30.63934426,48.06557377,4.803278689,4.786885246,7,2012
California,36.116203,-119.681564,17.44474761,36.32060027,4.650750341,4.753069577,7,2012
Colorado,39.059811,-105.311104,35.96774194,42.64516129,16.67741935,7.129032258,7,2012
District Of Columbia,38.897438,-77.026817,30.56666667,46.4,27.73333333,8.366666667,7,2012
Florida,27.766279,-81.686783,19.61290323,45.77419355,4.64516129,4.838709677,7,2012
Illinois,40.349457,-88.986137,31.11290323,41.82258065,15.79032258,7.741935484,7,2012
Indiana,39.849426,-86.258278,26,51.625,28.75,9.375,7,2012
Kansas,38.5266,-96.726486,18.84,40.8,6.1,5.54,7,2012
Louisiana,31.169546,-91.867805,25.51612903,37.09677419,7.709677419,7.483870968,7,2012
Massachusetts,42.230171,-71.530106,23.03225806,31.19354839,10.25806452,2.419354839,7,2012
Michigan,43.326618,-84.536095,23.39655172,38.94827586,14.12068966,6.051724138,7,2012
Missouri,38.456085,-92.288368,26.5483871,43.93548387,20.27419355,8.451612903,7,2012
New Hampshire,43.452492,-71.563896,16,42.77419355,6.741935484,4.483870968,7,2012
New Jersey,40.298904,-74.521011,33.19354839,54.93548387,11.19354839,7.258064516,7,2012
